Acampamento,Acamp
Acesso,Ac
Acesso Local,Ac Loc
Adro,Ad
Aeroporto,Aer
Alameda,Al
Alto,At
Anel Viário,An Vr
Antiga Estação,Ant Etc
Antiga Estrada,Ant Est
Área,A
Área Especial,AE
Área Verde,A Verde
Artéria,Art
Atalho,Atl
Avenida,Av
Avenida Contorno,Av Cont
Avenida Marginal,Av Marg
Avenida Marginal Direita,Av Marg Dir
Avenida Marginal Esquerda,Av Marg Esq
Avenida Marginal Norte,Av Marg Norte
Avenida Perimetral,Av Per
Avenida Velha,Av Va
Baixa,Bx
Balão,Blo
Balneário,Baln
Beco,Bc
Belvedere,Belv
Bloco,Bl
Blocos,Bls
Bosque,Bsq
Boulevard,Bvd
Bulevar,Blv
Buraco,Bco
Cais,C
Calçada,Calc
Calçadão,Calç
Caminho,Cam
Caminho de Servidão,Cam Serv
Campo,Cpo
Campus,Campus
Canal,Can
Chácara,Ch
Chapadão,Chap
Ciclovia,Cicl
Circular,Circ
Colônia,Col
Complexo Viário,Cmp Vr
Comunidade,Com
Condomínio,Cond
Condomínio Residencial,Cond Res
Conjunto,Cj
Conjunto Habitacional,Conj Hab
Conjunto Mutirão,Cj Mut
Conjunto Residencial,Cj Res
Contorno,Cont
Corredor,Cor
Córrego,Crg
Descida,Dsc
Desvio,Dsv
Distrito,Dt
Eixo,Ex
Eixo Industrial,Ex Ind
Eixo Principal,Ex Princ
Elevada,Evd
Enseada,Ens
Entrada Particular,Ent Part
Entre Bloco,EB
Entre Quadra,EQ
Escada,Esc
Escadaria,Escad
Esplanada,Esp
Estação,Etc
Estacionamento,Estc
Estádio,Etd
Estância,Etn
Estrada,Est
Estrada Antiga,Est Ant
Estrada de Ferro,Est Fer
Estrada de Ligação,Est Lig
Estrada de Servidão,Est Srv
Estrada Estadual,Est Estd
Estrada Intermunicipal,Est Interm
Estrada Municipal,Est Mun
Estrada Nova,Est Nova
Estrada Particular,Est Part
Estrada Velha,Est Velha
Estrada Vicinal,Est Vic
Evangélica,Evang
Favela,Fav
Fazenda,Faz
Feira,Fra
Ferrovia,Fer
Fonte,Fnt
Forte,Fte
Galeria,Gal
Granja,Gja
Ilha,Ia
Ilhota,Ioa
Jardim,Jd
Jardim Residencial,Jd Res
Jardinete,Jde
Ladeira,Ld
Lago,Lg
Lagoa,Lga
Largo,Lrg
Loteamento,Lot
Margem,Marg
Marina,Mna
Mercado,Merc
Módulo,Mod
